KAM,So how are you keeping Mohsin
HCP,Not bad
HCP, How are you
KAM,"Yeah, not too bad"
KAM, Thank you
HCP,Where are you based at the moment
KAM,I'm based in
KAM," I'm in Luton, but I cover the area that I cover is hertfordshire, Bedfordshire"
KAM, north and so on
KAM, Yeah
HCP,Fair enough big patch
KAM,Yeah
KAM, So big area
KAM, So you're in Darby Mohsin are
HCP,correct
HCP, Yes
KAM,Okay
KAM, Okay
KAM," So your your your principal pharmacist,"
HCP,"she had lead pharmacists for high cost drugs, Home Care medical transition and formulary"
KAM,Okay
KAM, Okay
KAM," And thus Mohsin is that for, like you said, home care"
KAM, Home Care
HCP,"Yes, that's one of the things in my portfolio Yes"
KAM,"Oh, I see"
KAM, Okay
KAM, Okay
KAM," Um, Mohsin How, how have COVID"
KAM, How has it affected
KAM, Your colleagues and so on within the hospital
KAM," Because it's been quite devastating, obviously, around the UK"
HCP,"Yeah, absolutely"
HCP," I think first wave was everyone was really motivated to help, you know, we're gonna come together and things are quite well, but the NHS service no longer existed in the first wave"
HCP, It was just a children
HCP, COVID service
HCP, Yeah
HCP," So we stopped all outpatient activity, active surgery"
HCP, It was Yeah
HCP," So we were purely focused, and everyone was driven and, you know, the population, the people, they really adhere to the lockdown initially"
HCP," Okay, second wave has been disastrous, in my opinion, is really have been bad"
HCP," So, you know, people haven't been taken seriously"
HCP, So we've had massive spikes
HCP," We had to add a trust, maintainn our patient services, elective surgery, which again, was a challenge"
HCP, Yeah
HCP, Because you just got reduced capacity
HCP," And then in terms of the workforce, which was the biggest thing for me"
HCP, Yeah
HCP, People lost the motivation and emotion was gone
HCP,We had colleagues pretty severely air colleagues passing away
HCP," Yeah, children at school, other schools close now"
HCP, It was just an absolute mess
HCP," And it's just, it still is really difficult at work"
HCP," You know, we can't decide our roter until nine o'clock in the morning because we every day, we know something's gonna happen"
KAM,I see
KAM, Okay
KAM," Yeah, yeah"
KAM, Yeah
KAM, Yeah
KAM," You guys are doing a brilliant job, but it is"
KAM, So it's such a strange thing
KAM," I never ever, ever thought in my lifetime, I would obviously lived through a pandemic, you know what I mean"
KAM," And so, it is, you know, it's so uprooted everything I would imagine, you know, so it's good that you and your colleagues are doing okay, but, you know, I'm hoping I'm really hoping that it comes to an end sooner rather than later"
KAM," So, honestly, definitely, so Mohsin and tell me a little bit more of your role"
KAM, So is it more do you see patients or do you manage a group of pharmacists
HCP,"So I manage a team I, I no longer see, or I, I'm not involved in direct patient care anymore"
HCP," Okay, right"
HCP," Unless I'm covering for somebody, which has been quite regularly recently, but generally not on the wards not seeing patients in clinics, etc"
HCP, Even though I'm a non medical prescriber
HCP," I don't, I don't I don't see patients anymore"
HCP," So what I'm involved is mainly project work formulary work guidelines, and then managing services and managing parts of our home care, home care service"
HCP," Okay, having conversations with our commissioners around, you know, STP work ICS work, Formulary, what's going on primary care what's going on secondary care"
HCP, It's it's quite wide ranging
KAM,"Okay, okay"
KAM, Yeah
KAM, So I cover Yes
KAM," So, within the hospital, and I see a lot of and I cover apixaban for atrial fibrillation"
KAM, I also do another drug for amyloid cardiomyopathy
KAM," You know, and so, please, how does, how do you in terms of formulary decision"
KAM, How does you got How do you guys decide what gets into the formula and so on
HCP,So it depends on different pathways
HCP," So see if there's a NICE advice on, we have no choice"
HCP, We have to get it onto the formulary
HCP, Yeah
HCP, We'll talk about patients
HCP," Yeah, well, we have more than one option to put up within DOACs, you know, your license for AF"
HCP," You know, we have that conversation with our clinicians"
HCP," Okay, we have conversations with yourself with your MSL potentially, with the evidence"
HCP," But especially within the doac carrier, I find like the I mean, the evidence, it is what it is, but it's not head to head, it's never going to be you can't compare the data for revenue expenditure"
HCP," So you're looking at safety, but from my experience, I let our clinicians dictate what they want and their real life experience Trumps all the data that you can present to them"
HCP," Yeah, and they have extensive experience"
HCP," You know, I remember the days where we just had to pick a trend and then as you know, rivaroxaban came and then apixaban came and then now we've got adoxaban as well"
